ID,NAME
10364,ESTABLO PUERTO RICO S.A. DE C.V.
10365,JAMARO CONSTRUCTORES S.A. DE C.V.
10366,NUEVA INDUSTRIA DE GANADEROS DE CULIACAN S.A. DE C.V.
10368,BANK SADERAT IRAN
10369,AZZA AIR TRANSPORT COMPANY LTD.
10371,FARAYAND TECHNIQUE
10386,GULF CARTEL
10388,FAJR INDUSTRIES GROUP
10389,MIZAN MACHINE MANUFACTURING GROUP
10391,ISLAMIC REVOLUTIONARY GUARD CORPS
10392,MINISTRY OF DEFENSE AND ARMED FORCES LOGISTICS
10408,AL-SALAH SOCIETY
10410,MARTYRS FOUNDATION
10411,MARTYRS FOUNDATION IN LEBANON
10412,PALESTINIAN MARTYRS FOUNDATION
10413,"GOODWILL CHARITABLE ORGANIZATION, INC."
10416,AL-QARD AL-HASSAN ASSOCIATION
10463,FATAH AL-ISLAM
10465,ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE
10473,SOCIEDAD SUPERDEPORTES LTDA.
10486,TAMILS REHABILITATION ORGANISATION
10488,KHATAM OL ANBIA GHARARGAH SAZANDEGI NOOH
10489,ORIENTAL OIL KISH
10490,GHORB KARBALA
10491,SEPASAD ENGINEERING COMPANY
10492,GHORB NOOH
10493,OMRAN SAHEL
10494,SAHEL CONSULTANT ENGINEERS
10495,HARA COMPANY
10496,GHARARGAHE SAZANDEGI GHAEM
10574,BELNEFTEKHIM
10575,"BELNEFTEKHIM USA, INC."
10596,FMF GENERAL TRADING LLC
10597,AL AMLOOD TRADING LLC
10598,A A TRADING FZCO
10599,BELS FLOWERS IMPORT EXPORT BVBA
10600,OFFENBACH HAUSHALTWAREN B.V.
10601,KHAN & SCHIRINDEL GMBH
10602,SAF TECH S.L.
10603,DUBAI TRADING COMPANY
10604,ZULEKHA GENERAL TRADING LLC
10605,SHAHBAZ TV CENTER
10606,SHAHNAWAZ TRADERS
10607,SHER MATCH INDUSTRIES (PVT.) LIMITED
10608,SHAHBAZ KHAN GENERAL TRADING LLC
10637,"SISTEMA DE RADIO DE SINALOA, S.A. DE C.V."
10638,"TOYS FACTORY, S.A. DE C.V."
10639,"CONSORCIO INMOBILIARIO DEL VALLE DE CULIACAN, S.A. DE C.V."
10640,"PATRACA, S.A. DE C.V."
